depth,MS (e-6 SI)
1113.64,161
1113.65,159
1113.66,158
1113.67,156
1113.68,155
1113.69,154
1113.7,150
1113.71,149
1113.72,149
1113.73,149
1113.74,151
1113.75,154
1113.76,154
1113.77,157
1113.78,158
1113.79,158
1113.8,158
1113.81,158
1113.82,158
1113.83,157
1113.84,157
1113.85,156
1113.86,157
1113.87,161
1113.88,163
1113.89,162
1113.9,163
1113.91,164
1113.92,163
1113.93,164
1113.94,164
1113.95,164
1113.96,164
1113.97,163
1113.98,162
1113.99,162
1114,161
1114.01,160
1114.02,159
1114.03,158
1114.04,154
1114.05,154
1114.06,156
1114.07,157
1114.08,158
1114.09,159
1114.1,161
1114.11,161
1114.12,161
1114.13,161
1114.14,163
1114.15,165
1114.16,166
1114.17,165
1114.18,164
1114.19,163
1114.2,163
1114.21,163
1114.22,164
1114.23,165
1114.24,166
1114.25,166
1114.26,166
1114.27,165
1114.28,166
1114.29,166
1114.3,167
1114.31,168
1114.32,169
1114.33,170
1114.34,171
1114.35,172
1114.36,172
1114.37,173
1114.38,173
1114.39,171
1114.4,171
1114.41,170
1114.42,169
1114.43,169
1114.44,168
1114.45,169
1114.46,169
1114.47,168
1114.48,168
1114.49,168
1114.5,168
1114.51,168
1114.52,168
1114.53,169
1114.54,170
1114.55,169
1114.56,169
1114.57,168
1114.58,167
1114.59,168
1114.6,169
1114.61,170
1114.62,169
1114.63,169
1114.64,170
1114.65,169
1114.66,168
1114.67,168
1114.68,167
1114.69,168
1114.7,168
1114.71,165
1114.72,163
1114.73,162
1114.74,161
1114.75,163
1114.76,164
1114.77,167
1114.78,169
1114.79,169
1114.8,169
1114.81,169
1114.82,169
1114.83,169
1114.84,171
1114.85,173
1114.86,172
1114.87,173
1114.88,172
1114.89,172
1114.9,172
1114.91,170
1114.92,169
1114.93,165
1114.94,159
1114.95,156
1114.96,154
1114.97,152
1114.98,152
1114.99,155
1115,158
1115.01,159
1115.02,168
1115.03,177
1115.04,179
1115.05,179
1115.06,179
1115.07,177
1115.08,174
1115.09,173
1115.1,173
1115.11,172
1115.12,172
1115.13,173
1115.14,174
1115.15,172
1115.16,173
1115.17,174
1115.18,173
1115.19,173
1115.2,173
1115.21,172
1115.22,170
1115.23,165
1115.24,171
1115.25,173
1115.26,166
1115.27,154
1115.28,152
1115.29,152
1115.3,154
1115.31,164
1115.32,176
1115.33,179
1115.34,182
1115.35,182
1115.36,183
1115.37,183
1115.38,183
1115.39,181
1115.4,181
1115.41,179
1115.42,178
1115.43,178
1115.44,177
1115.45,176
1115.46,176
1115.47,175
1115.48,175
1115.49,175
1115.5,175
1115.51,177
1115.52,179
1115.53,181
1115.54,182
1115.55,185
1115.56,185
1115.57,184
1115.58,183
1115.59,184
1115.6,182
1115.61,181
1115.62,180
1115.63,181
1115.64,180
1115.65,179
1115.66,179
1115.67,179
1115.68,179
1115.69,180
1115.7,181
1115.71,181
1115.72,181
1115.73,182
1115.74,180
1115.75,176
1115.76,174
1115.77,170
1115.78,167
1115.79,165
1115.8,166
1115.81,167
